,,Station 1,Station 2,Station 3,Station 4,,,,,,,,,,,
,,0.371,0.291,0.029,0.578,,,,,,,,,,,
,,0.389,0.397,0.056,0.806,,,,,,,,,,,
,,0.336,0.403,0.028,0.947,,,,,,,,,,,
,,0.348,0.256,0.054,1.157,,,,,,,,,,,
,,0.399,0.251,0.079,1.864,,,,,,,,,,,
,,0.593,0.212,0.249,2.040,,,,,,,,,,,
,,0.860,0.989,0.229,2.007,,,,,,,,,,,
,,1.000,0.745,0.002,0.541,,,,,,,,,,,
,,0.766,0.788,0.000,0.822,,,,,,,,,,,
,,0.461,0.401,0.000,0.455,,,,,,,,,,,
,,0.380,0.385,0.000,0.025,,,,,,,,,,,
,,0.416,0.337,0.000,0.019,,,,,,,,,,,
,,0.391,0.404,0.074,0.442,,,,,,,,,,,
,,0.292,0.227,0.000,0.342,,,,,,,,,,,
,,0.304,0.469,0.062,1.376,,,,,,,,,,,
,,0.327,0.254,0.000,0.716,,,,,,,,,,,
,,0.341,0.231,0.014,0.992,,,,,,,,,,,
,,0.647,0.473,0.238,1.793,,,,,,,,,,,
,,0.867,0.662,0.188,1.966,,,,,,,,,,,
,,1.810,0.658,0.416,4.968,,,,,,,,,,,
,,1.748,0.458,0.030,3.021,,,,,,,,,,,
,,1.003,0.128,0.016,0.517,,,,,,,,,,,
,,0.652,0.136,0.013,0.000,,,,,,,,,,,
,,0.712,0.160,0.029,0.000,,,,,,,,,,,
,,0.774,0.189,0.072,0.472,,,,,,,,,,,
,,0.399,0.296,0.043,0.414,,,,,,,,,,,
,,0.461,0.279,0.017,0.764,,,,,,,,,,,
,,0.407,0.335,0.015,1.209,,,,,,,,,,,
,,0.402,0.612,0.052,2.995,,,,,,,,,,,
,,0.485,0.760,0.386,5.069,,,,,,,,,,,
,,0.770,0.830,0.348,2.972,,,,,,,,,,,
,,0.454,0.560,0.000,0.524,,,,,,,,,,,
,,0.248,0.311,0.000,0.079,,,,,,,,,,,
,,0.289,0.200,0.000,0.000,,,,,,,,,,,
,,0.223,0.121,0.001,0.000,,,,,,,,,,,
,,0.297,0.086,0.000,0.000,,,,,,,,,,,
,,0.298,0.346,0.276,2.242,,,,,,,,,,,
,,0.510,0.385,0.160,3.456,,,,,,,,,,,
,,0.706,0.396,0.044,4.094,,,,,,,,,,,
,,0.561,0.442,0.031,3.413,,,,,,,,,,,
,,0.644,0.584,0.054,2.495,,,,,,,,,,,
,,0.818,0.664,0.014,1.257,,,,,,,,,,,
,,1.182,0.837,0.316,0.508,,,,,,,,,,,
,,1.336,0.729,0.254,0.264,,,,,,,,,,,
,,0.672,0.752,0.001,0.164,,,,,,,,,,,
,,0.476,0.254,0.000,0.020,,,,,,,,,,,
,,0.350,0.319,0.000,0.046,,,,,,,,,,,
,,1.060,0.571,2.429,0.053,,,,,,,,,,,
,,0.244,0.282,7.785,1.023,,,,,,,,,,,
,,0.407,0.422,0.237,0.711,,,,,,,,,,,
,,0.466,0.319,0.143,0.995,,,,,,,,,,,
,,0.430,0.381,0.118,1.465,,,,,,,,,,,
,,0.421,0.316,0.190,1.522,,,,,,,,,,,
,,0.526,0.465,0.458,5.122,,,,,,,,,,,
,,1.500,0.990,0.873,7.693,,,,,,,,,,,
,,0.840,0.525,0.142,2.776,,,,,,,,,,,
,,0.529,0.345,0.000,0.603,,,,,,,,,,,
,,0.383,0.256,0.000,0.487,,,,,,,,,,,
,,0.616,0.341,0.004,0.000,,,,,,,,,,,
,,0.468,0.356,0.202,0.119,,,,,,,,,,,
,,0.602,0.378,1.028,1.334,,,,,,,,,,,
,,0.369,0.360,0.110,0.970,,,,,,,,,,,
,,0.397,0.268,0.058,0.575,,,,,,,,,,,
,,0.387,0.300,0.115,1.863,,,,,,,,,,,
,,0.404,0.433,0.108,2.592,,,,,,,,,,,
,,0.612,0.543,0.301,2.662,,,,,,,,,,,
,,1.274,0.774,0.549,2.264,,,,,,,,,,,
,,1.267,0.635,0.743,2.633,,,,,,,,,,,
,,0.592,0.373,0.067,3.601,,,,,,,,,,,
,,0.522,0.432,0.202,0.000,,,,,,,,,,,
,,0.263,0.424,0.356,0.000,,,,,,,,,,,
,,0.411,0.496,0.455,0.000,,,,,,,,,,,
,,0.362,0.319,0.411,0.876,,,,,,,,,,,
,,0.336,0.382,1.250,1.516,,,,,,,,,,,
,,0.428,0.693,0.531,1.886,,,,,,,,,,,
,,0.394,0.373,0.467,2.520,,,,,,,,,,,
,,0.316,0.265,0.139,1.615,,,,,,,,,,,
,,0.613,1.436,0.596,3.420,,,,,,,,,,,
,,1.387,1.497,0.771,5.326,,,,,,,,,,,
,,1.349,1.084,0.163,1.394,,,,,,,,,,,
,,0.904,0.591,0.000,0.031,,,,,,,,,,,
,,0.592,0.565,0.000,0.000,,,,,,,,,,,
,,0.448,0.493,2.413,0.000,,,,,,,,,,,
,,0.339,0.495,0.126,0.455,,,,,,,,,,,
,,0.385,0.355,0.125,0.475,,,,,,,,,,,
,,1.498,0.296,0.089,1.319,,,,,,,,,,,
,,0.346,0.279,0.094,0.611,,,,,,,,,,,
,,0.298,0.344,0.023,16.232,,,,,,,,,,,
,,0.264,0.304,0.021,0.652,,,,,,,,,,,
,,0.375,0.373,0.130,0.805,,,,,,,,,,,
,,0.742,0.653,0.630,1.962,,,,,,,,,,,
,,0.836,0.475,0.061,0.496,,,,,,,,,,,
,,0.514,0.343,0.000,0.091,,,,,,,,,,,
,,0.257,0.381,0.000,0.000,,,,,,,,,,,
,,0.180,0.237,0.000,0.000,,,,,,,,,,,
,,0.163,0.150,0.007,0.000,,,,,,,,,,,
,,0.238,0.179,0.173,0.265,,,,,,,,,,,
,,0.275,0.183,0.687,0.946,,,,,,,,,,,
,,0.265,0.162,0.033,0.512,,,,,,,,,,,
,,0.242,0.182,0.085,0.801,,,,,,,,,,,
,,0.278,0.317,0.162,1.849,,,,,,,,,,,
,,0.427,0.456,0.317,2.066,,,,,,,,,,,
,,1.103,0.635,0.524,3.827,,,,,,,,,,,
,,1.382,0.597,0.045,2.268,,,,,,,,,,,
,,0.901,0.412,0.039,1.257,,,,,,,,,,,
,,0.503,0.194,0.006,0.000,,,,,,,,,,,
,,0.370,0.134,0.000,0.000,,,,,,,,,,,
,,0.272,0.171,0.000,0.000,,,,,,,,,,,
,,0.396,0.205,0.130,0.444,,,,,,,,,,,
,,0.310,0.297,0.044,0.411,,,,,,,,,,,
,,0.261,0.135,0.113,0.163,,,,,,,,,,,
,,0.269,0.186,0.041,0.700,,,,,,,,,,,
,,0.212,0.198,0.048,0.460,,,,,,,,,,,
,,0.473,0.582,0.360,0.986,,,,,,,,,,,
,,1.190,1.549,1.231,7.645,,,,,,,,,,,
,,2.895,2.085,1.280,15.581,,,,,,,,,,,
,,1.976,1.337,0.251,10.468,,,,,,,,,,,
,,1.102,1.233,0.001,0.142,,,,,,,,,,,
,,0.802,0.500,0.020,0.000,,,,,,,,,,,
,,0.928,0.304,0.019,0.000,,,,,,,,,,,
,,0.543,0.304,0.095,1.850,,,,,,,,,,,
,,0.532,0.235,0.019,0.566,,,,,,,,,,,
,,0.429,0.208,0.115,0.856,,,,,,,,,,,
,,0.440,0.302,0.053,2.095,,,,,,,,,,,
,,0.495,0.477,0.225,2.079,,,,,,,,,,,
,,0.516,0.885,0.638,6.132,,,,,,,,,,,
,,1.288,1.119,0.345,3.196,,,,,,,,,,,
,,2.597,0.929,0.272,2.031,,,,,,,,,,,
,,1.620,0.419,0.274,5.466,,,,,,,,,,,
,,0.936,0.355,0.061,2.046,,,,,,,,,,,
,,0.721,0.233,0.040,1.113,,,,,,,,,,,
,,0.602,0.318,0.053,0.000,,,,,,,,,,,
,,0.508,0.161,0.001,0.000,,,,,,,,,,,
,,0.510,0.250,0.363,2.213,,,,,,,,,,,
,,0.494,0.330,0.075,2.934,,,,,,,,,,,
,,0.538,0.347,0.018,2.250,,,,,,,,,,,
,,0.632,0.535,0.211,8.120,,,,,,,,,,,
,,0.605,0.473,0.123,4.288,,,,,,,,,,,
,,0.970,0.671,0.482,9.370,,,,,,,,,,,
,,1.201,0.625,0.262,7.784,,,,,,,,,,,
,,0.742,0.305,0.246,5.906,,,,,,,,,,,
,,0.657,0.343,0.010,0.000,,,,,,,,,,,
,,0.475,0.252,0.001,0.000,,,,,,,,,,,
,,0.706,0.477,0.226,0.000,,,,,,,,,,,
,,0.526,0.353,0.211,3.161,,,,,,,,,,,
,,0.663,0.319,0.089,2.361,,,,,,,,,,,
,,0.437,0.370,0.125,4.423,,,,,,,,,,,
,,0.483,0.422,0.138,4.978,,,,,,,,,,,
,,0.505,0.243,0.001,3.179,,,,,,,,,,,
,,0.555,0.218,0.126,2.379,,,,,,,,,,,
,,0.739,0.392,0.131,5.633,,,,,,,,,,,
,,1.344,0.892,0.200,3.666,,,,,,,,,,,
,,0.647,0.333,0.000,0.000,,,,,,,,,,,
,,0.592,0.221,0.000,0.000,,,,,,,,,,,
,,0.429,0.248,0.000,0.000,,,,,,,,,,,
,,0.317,0.196,0.087,0.000,,,,,,,,,,,
,,0.337,0.261,0.301,2.288,,,,,,,,,,,
,,0.425,0.247,0.126,2.504,,,,,,,,,,,
,,0.343,0.372,0.123,7.107,,,,,,,,,,,
,,0.362,0.231,0.004,2.858,,,,,,,,,,,
,,0.385,0.331,0.062,2.830,,,,,,,,,,,
,,0.559,0.447,0.103,5.153,,,,,,,,,,,
,,0.964,0.731,0.515,5.906,,,,,,,,,,,
,,1.285,0.781,0.204,3.861,,,,,,,,,,,
,,0.892,0.419,0.025,1.141,,,,,,,,,,,
,,0.624,0.282,0.000,0.000,,,,,,,,,,,
,,0.455,0.257,0.000,0.000,,,,,,,,,,,
,,0.277,0.100,0.000,0.000,,,,,,,,,,,
,,0.458,0.302,0.299,1.675,,,,,,,,,,,
,,0.364,0.209,0.153,2.485,,,,,,,,,,,
,,0.300,0.193,0.025,1.766,,,,,,,,,,,
,,0.435,0.175,0.000,1.613,,,,,,,,,,,
,,0.318,0.265,0.015,2.101,,,,,,,,,,,
,,0.491,0.479,0.161,3.531,,,,,,,,,,,
,,1.101,0.862,0.635,5.253,,,,,,,,,,,
,,0.895,0.548,0.241,2.660,,,,,,,,,,,
,,0.625,0.265,0.071,0.135,,,,,,,,,,,
,,0.642,0.843,0.760,0.943,,,,,,,,,,,
,,0.409,0.316,0.000,0.000,,,,,,,,,,,
,,0.310,0.132,0.002,0.000,,,,,,,,,,,
,,0.517,0.121,0.051,1.009,,,,,,,,,,,
,,0.583,0.327,1.341,3.173,,,,,,,,,,,
,,0.304,0.356,0.226,4.256,,,,,,,,,,,
,,0.448,0.198,0.039,4.412,,,,,,,,,,,
,,0.731,0.450,0.259,6.674,,,,,,,,,,,
,,0.608,0.405,0.204,3.901,,,,,,,,,,,
,,1.788,0.567,0.378,4.609,,,,,,,,,,,
,,1.440,0.677,0.325,5.894,,,,,,,,,,,
,,0.457,0.236,0.022,0.000,,,,,,,,,,,
,,0.469,0.180,0.000,0.000,,,,,,,,,,,
,,0.384,0.659,0.000,0.000,,,,,,,,,,,
,,0.375,0.181,0.139,0.785,,,,,,,,,,,
,,0.487,0.119,0.008,1.420,,,,,,,,,,,
,,0.703,0.138,0.018,1.059,,,,,,,,,,,
,,0.288,0.107,0.000,1.144,,,,,,,,,,,
,,0.362,0.115,0.000,0.990,,,,,,,,,,,
,,0.427,0.197,0.000,1.024,,,,,,,,,,,
,,0.341,0.155,0.059,1.328,,,,,,,,,,,
,,0.394,0.270,0.053,1.466,,,,,,,,,,,
,,0.443,0.164,0.000,0.645,,,,,,,,,,,
,,0.280,0.115,0.000,0.166,,,,,,,,,,,
,,0.348,0.134,0.210,0.000,,,,,,,,,,,
,,2.405,0.601,0.000,0.000,,,,,,,,,,,
,,0.153,0.106,0.294,0.000,,,,,,,,,,,
,,0.224,0.189,0.233,2.735,,,,,,,,,,,
,,0.184,0.108,0.006,1.865,,,,,,,,,,,
,,0.207,0.123,0.024,1.237,,,,,,,,,,,
,,0.215,0.181,0.016,1.199,,,,,,,,,,,
,,0.251,0.238,0.067,2.460,,,,,,,,,,,
,,0.523,0.449,0.305,6.920,,,,,,,,,,,
,,1.301,0.707,0.455,4.581,,,,,,,,,,,
,,0.881,0.264,0.000,0.459,,,,,,,,,,,
,,0.417,0.188,0.023,0.000,,,,,,,,,,,
,,0.219,0.175,0.048,0.000,,,,,,,,,,,
,,0.145,0.117,0.000,0.000,,,,,,,,,,,
,,0.124,0.234,0.008,0.117,,,,,,,,,,,
,,0.387,0.125,0.142,1.958,,,,,,,,,,,
,,0.244,0.102,0.000,2.208,,,,,,,,,,,
,,0.223,0.161,0.007,2.835,,,,,,,,,,,
,,0.232,0.139,0.000,0.693,,,,,,,,,,,
,,0.247,0.142,0.004,1.038,,,,,,,,,,,
,,0.289,0.194,0.044,0.983,,,,,,,,,,,
,,0.443,0.424,0.011,2.261,,,,,,,,,,,
,,0.230,0.267,0.000,1.691,,,,,,,,,,,
,,0.359,0.298,0.000,2.939,,,,,,,,,,,
,,0.231,0.246,0.235,4.414,,,,,,,,,,,
,,0.205,0.175,0.000,3.770,,,,,,,,,,,
,,0.688,0.115,0.010,0.848,,,,,,,,,,,
,,0.107,0.111,0.075,0.595,,,,,,,,,,,
,,0.045,0.167,0.069,0.671,,,,,,,,,,,
,,0.097,0.182,0.013,0.758,,,,,,,,,,,
,,0.054,0.109,0.023,0.523,,,,,,,,,,,
,,0.076,0.202,0.085,0.348,,,,,,,,,,,
,,0.300,0.188,0.057,0.802,,,,,,,,,,,
,,1.205,0.512,0.427,2.059,,,,,,,,,,,
,,1.264,0.737,0.586,4.004,,,,,,,,,,,
,,0.642,0.143,0.000,2.136,,,,,,,,,,,
,,0.272,0.119,0.000,3.182,,,,,,,,,,,
,,0.125,0.126,0.000,2.680,,,,,,,,,,,
,,0.072,0.201,0.000,1.903,,,,,,,,,,,
,,0.008,0.101,0.000,1.363,,,,,,,,,,,
,,0.056,0.113,0.000,0.737,,,,,,,,,,,
,,0.070,0.096,0.000,1.542,,,,,,,,,,,
,,0.180,0.113,0.000,0.681,,,,,,,,,,,
,,0.176,0.091,0.000,0.516,,,,,,,,,,,
,,0.209,0.143,0.000,0.982,,,,,,,,,,,
,,0.351,0.171,0.128,1.898,,,,,,,,,,,
,,0.349,0.275,0.058,2.132,,,,,,,,,,,
,,0.222,0.268,0.162,5.871,,,,,,,,,,,
,,0.142,0.172,0.000,1.783,,,,,,,,,,,
,,0.166,0.126,0.079,3.069,,,,,,,,,,,
,,0.100,0.089,0.079,2.665,,,,,,,,,,,
,,0.067,0.106,0.004,2.327,,,,,,,,,,,
,,0.095,0.160,0.077,2.295,,,,,,,,,,,
,,0.231,0.301,0.471,4.363,,,,,,,,,,,
,,0.157,0.161,0.000,1.894,,,,,,,,,,,
,,0.297,0.267,0.015,2.217,,,,,,,,,,,
,,0.352,0.149,0.008,2.441,,,,,,,,,,,
,,3.135,1.440,0.802,6.153,,,,,,,,,,,
,,1.341,0.572,0.029,3.457,,,,,,,,,,,
,,1.027,0.281,0.000,2.375,,,,,,,,,,,
,,1.008,0.512,0.065,4.230,,,,,,,,,,,
,,0.312,0.174,0.000,2.659,,,,,,,,,,,
,,0.114,0.122,0.000,2.148,,,,,,,,,,,
,,0.073,0.136,0.000,2.455,,,,,,,,,,,
,,0.099,0.118,0.009,2.028,,,,,,,,,,,
,,0.069,0.172,0.067,2.269,,,,,,,,,,,
,,0.210,0.213,0.060,4.582,,,,,,,,,,,
,,0.265,0.368,0.004,4.529,,,,,,,,,,,
,,0.639,0.547,0.116,5.445,,,,,,,,,,,
,,0.637,0.515,0.328,5.835,,,,,,,,,,,
,,1.215,0.557,0.098,4.755,,,,,,,,,,,
,,0.765,0.419,0.058,6.396,,,,,,,,,,,
,,0.458,0.318,0.027,7.469,,,,,,,,,,,
,,0.327,0.166,0.000,6.446,,,,,,,,,,,
,,0.395,0.606,0.000,4.875,,,,,,,,,,,
,,0.220,0.280,0.000,3.357,,,,,,,,,,,
,,0.210,0.218,0.166,3.280,,,,,,,,,,,
,,0.139,0.116,0.026,1.415,,,,,,,,,,,
,,0.181,0.189,0.096,6.952,,,,,,,,,,,
,,0.359,0.384,0.105,3.516,,,,,,,,,,,
,,0.394,0.325,0.007,0.433,,,,,,,,,,,
,,0.326,0.189,0.018,0.518,,,,,,,,,,,
,,0.382,0.147,0.030,1.017,,,,,,,,,,,
,,0.245,0.068,0.511,2.148,,,,,,,,,,,
,,0.041,0.072,0.000,1.968,,,,,,,,,,,
,,0.037,0.069,0.000,1.147,,,,,,,,,,,
,,0.021,0.054,0.000,0.220,,,,,,,,,,,
,,0.017,0.057,0.013,1.802,,,,,,,,,,,
,,0.055,0.080,0.040,2.279,,,,,,,,,,,
,,0.091,0.138,0.093,4.665,,,,,,,,,,,
,,0.085,0.242,0.103,2.465,,,,,,,,,,,
,,0.067,0.139,0.140,0.909,,,,,,,,,,,
,,0.026,0.162,0.055,3.187,,,,,,,,,,,
,,0.591,0.597,0.247,3.887,,,,,,,,,,,
,,0.991,0.269,0.187,2.367,,,,,,,,,,,
,,0.352,0.204,0.260,0.879,,,,,,,,,,,
,,0.365,0.146,0.110,0.835,,,,,,,,,,,
,,0.245,0.084,0.048,0.892,,,,,,,,,,,
,,0.153,0.080,0.056,0.904,,,,,,,,,,,
,,0.182,0.090,0.062,0.357,,,,,,,,,,,
,,0.125,0.064,0.067,0.329,,,,,,,,,,,
,,0.153,0.075,0.077,0.494,,,,,,,,,,,
,,0.099,0.090,0.068,0.348,,,,,,,,,,,
,,0.144,0.116,0.100,0.262,,,,,,,,,,,
,,0.396,0.743,0.316,0.656,,,,,,,,,,,
,,0.497,0.101,0.209,0.060,,,,,,,,,,,
,,0.356,0.217,0.088,0.086,,,,,,,,,,,
,,0.213,0.072,0.048,0.000,,,,,,,,,,,
,,0.155,0.067,0.037,0.000,,,,,,,,,,,
,,0.067,0.035,0.037,0.000,,,,,,,,,,,
,,0.049,0.130,0.039,0.000,,,,,,,,,,,
,,0.136,0.071,0.154,0.941,,,,,,,,,,,
,,0.088,0.053,0.062,0.464,,,,,,,,,,,
,,0.113,0.054,0.075,0.416,,,,,,,,,,,
,,0.084,0.053,0.071,0.488,,,,,,,,,,,
,,0.171,0.111,0.293,1.172,,,,,,,,,,,
,,0.314,0.084,0.184,0.469,,,,,,,,,,,
,,0.378,0.226,0.211,0.570,,,,,,,,,,,
