Month_Index,Station 1,Station 2,Station 3,Station 4,Station 5,Station 6,Station 7,Station 8,Station 9
1,27.5,22.0,23.0,54.0,66.0,78.0,77.5,38.0,68.2
2,64.5,68.0,56.0,156.0,46.5,73.0,82.5,86.0,84.0
3,96.0,85.5,91.0,48.0,48.5,78.5,54.0,57.5,58.2
4,85.0,83.5,78.0,38.0,45.5,39.0,28.0,38.0,33.0
5,73.0,69.5,79.5,55.0,57.0,46.0,48.0,50.0,46.0
6,147.5,151.5,176.0,120.0,107.0,129.0,79.0,78.5,75.5
7,160.0,148.5,147.5,78.0,94.5,106.0,74.5,87.5,76.2
8,80.0,75.0,63.0,34.0,54.5,60.0,23.0,23.0,25.9
9,59.5,49.0,172.5,129.0,110.5,131.0,152.0,0.0,119.1
10,51.0,37.5,34.0,49.0,41.0,25.0,37.0,53.5,54.0
11,82.5,60.5,39.0,35.0,31.5,19.0,44.5,44.5,65.0
12,22.0,32.5,15.5,39.0,12.0,31.0,67.0,31.0,19.1
13,33.5,36.0,27.0,42.0,21.5,28.5,38.0,45.5,41.0
14,105.0,100.0,86.5,106.0,72.5,123.0,185.0,125.0,120.8
15,90.0,78.5,51.0,85.0,101.5,128.0,121.5,93.5,76.5
16,28.5,28.5,39.0,21.0,24.0,27.0,37.0,30.0,32.0
17,97.0,90.0,91.5,49.0,64.5,75.0,41.5,43.5,41.2
18,126.5,144.5,96.0,77.0,79.0,77.0,68.5,52.0,48.2
19,182.5,152.5,166.5,166.0,133.5,173.0,146.0,112.0,139.5
20,72.5,76.5,96.5,37.0,53.5,51.5,22.5,29.5,30.0
21,40.5,27.5,48.5,54.0,29.0,48.0,98.5,52.5,42.0
22,82.0,59.5,66.0,93.0,61.5,77.0,79.5,102.0,127.5
23,19.0,10.5,12.0,15.0,17.0,12.0,12.0,10.0,8.5
24,35.0,53.5,121.0,20.0,22.0,10.0,28.0,28.5,36.5
25,42.0,46.0,24.5,36.0,31.0,36.0,38.5,38.5,30.0
26,80.5,80.5,83.5,76.0,68.5,122.0,105.5,108.5,89.0
27,116.0,125.5,126.0,132.0,88.0,134.0,89.0,87.5,110.0
28,176.5,158.5,161.0,151.0,108.0,153.0,102.0,122.0,118.0
29,91.0,67.0,171.0,68.0,68.0,95.0,56.0,56.5,65.5
30,101.5,91.5,94.5,109.0,79.0,82.5,76.0,75.0,85.5
31,91.0,72.0,60.5,77.0,80.0,83.0,94.5,65.0,81.0
32,89.5,75.5,97.0,154.0,120.0,129.0,98.5,70.5,81.9
33,25.5,21.0,35.0,14.0,64.5,50.0,21.0,40.5,55.0
34,27.5,13.5,6.0,19.0,7.0,7.5,46.5,42.5,22.0
35,31.5,45.0,82.0,14.0,2.5,9.0,19.5,9.0,10.1
36,50.0,20.0,17.5,45.0,31.5,29.0,25.5,19.5,17.3
37,57.5,65.5,52.0,58.0,47.5,58.5,87.0,57.5,50.8
38,109.5,106.5,115.5,117.0,84.5,97.0,107.0,101.5,104.5
39,57.5,54.5,65.5,33.0,42.5,46.5,35.0,40.0,34.5
40,75.5,88.5,93.5,120.0,106.0,166.0,156.0,79.5,99.9
41,91.5,86.5,78.5,61.0,77.5,88.0,70.0,76.0,66.0
42,43.0,47.5,35.5,15.0,27.0,28.0,43.0,36.5,45.1
43,114.0,94.0,69.5,65.0,62.0,57.0,60.5,48.5,63.5
44,52.5,41.0,48.0,95.0,49.5,48.0,82.0,61.0,72.1
45,34.0,27.0,30.5,16.0,3.5,28.0,11.5,18.0,11.0
46,32.5,34.5,18.0,11.0,9.5,6.0,4.0,5.0,18.4
47,9.5,11.0,17.0,0.0,4.0,3.5,2.0,0.0,0.0
48,60.5,52.0,74.5,30.0,48.0,46.5,38.5,25.0,26.2
49,61.5,43.5,70.5,19.0,5.0,4.5,37.5,43.0,41.1
50,90.0,78.5,92.0,127.0,121.0,188.0,83.1,77.0,176.4
51,92.0,83.0,125.0,84.0,73.0,88.0,92.5,68.5,98.1
52,89.5,66.5,74.5,67.0,88.0,119.0,83.5,91.5,68.3
53,49.5,44.0,60.5,46.0,49.0,62.5,50.0,44.5,43.5
54,144.5,112.5,120.5,67.0,105.5,119.0,114.0,80.0,114.6
55,156.5,135.0,138.0,79.0,85.0,75.0,102.0,83.0,86.8
56,70.0,59.0,81.0,84.0,60.0,72.0,55.5,44.5,49.1
57,165.5,149.5,27.0,19.0,15.0,12.0,32.5,17.0,60.0
58,90.0,71.0,79.5,36.0,23.5,26.0,39.0,53.5,19.7
59,36.5,6.5,18.5,0.0,14.0,29.0,1.5,1.5,0.0
60,0.0,0.0,4.0,11.0,21.0,24.5,12.0,9.5,22.0
61,59.0,56.0,104.5,31.0,34.5,48.5,17.0,15.0,17.5
62,5.5,3.5,4.5,53.0,19.5,33.0,50.5,51.5,47.9
63,130.0,108.0,120.0,117.0,63.0,94.0,92.0,76.0,90.6
64,28.5,35.0,21.0,24.0,20.0,25.5,21.5,19.0,18.3
65,57.5,92.0,53.5,74.0,39.0,58.0,48.5,50.0,50.4
66,74.5,77.0,60.5,49.0,66.5,101.0,41.0,43.5,40.6
67,11.0,10.5,23.5,19.0,15.0,13.0,8.0,5.5,6.9
68,17.5,14.0,15.5,36.0,21.0,18.0,41.0,26.5,34.6
69,38.5,38.5,47.0,45.0,32.5,25.5,27.0,23.5,26.6
70,56.5,54.0,35.0,30.0,14.5,13.0,24.0,16.0,19.2
71,9.5,10.0,26.5,2.0,0.0,2.0,3.0,8.0,3.5
72,45.5,49.5,20.0,21.0,16.0,31.0,14.0,21.5,30.2
73,31.5,30.0,20.5,171.0,143.0,130.0,198.0,88.0,195.3
74,41.5,53.5,30.0,46.0,27.5,36.0,29.0,27.0,31.1
75,105.0,116.0,84.0,90.0,53.0,53.0,47.0,48.5,48.4
76,32.5,40.5,19.5,20.0,32.5,36.0,37.0,22.0,26.8
77,176.0,190.0,174.0,180.0,141.0,170.0,107.5,104.5,116.6
78,50.5,40.0,74.0,69.0,39.5,54.5,47.5,50.0,54.5
79,169.0,197.5,186.0,157.0,116.0,132.0,66.5,52.5,76.8
80,100.5,96.5,60.5,52.0,37.5,34.0,29.0,27.0,34.2
81,45.0,66.0,51.5,48.0,22.0,32.5,15.5,39.5,25.6
82,1.0,0.0,10.0,5.0,3.0,1.0,0.0,0.0,2.3
83,149.5,140.5,57.0,128.0,61.0,66.0,103.0,95.5,83.1
84,25.5,27.5,21.0,108.0,137.0,92.0,85.5,103.5,124.8
85,69.5,56.5,16.0,94.0,86.5,76.5,102.0,97.5,87.3
86,39.5,48.5,47.0,73.0,28.5,30.0,35.5,41.0,47.1
87,130.5,142.5,134.0,127.0,103.0,134.0,112.0,112.5,101.5
88,35.0,33.5,23.5,52.0,36.5,41.5,50.5,46.5,44.1
89,177.0,189.5,151.0,159.0,125.5,160.0,103.0,77.5,109.3
90,171.5,168.5,120.5,153.0,131.0,129.0,97.5,76.0,118.9
91,106.5,127.0,105.5,107.0,81.5,61.5,37.5,38.5,54.2
92,95.0,96.0,61.5,125.0,82.5,55.0,72.0,53.5,64.5
93,3.5,6.0,1.0,10.0,10.0,6.5,51.0,29.0,9.5
94,27.0,41.5,13.0,56.0,39.5,60.5,53.0,41.0,21.0
95,16.0,25.0,3.0,18.0,23.0,53.0,3.5,0.0,1.5
96,13.0,14.0,99.5,67.0,11.0,12.0,50.5,34.5,39.5
97,34.5,42.5,23.0,48.0,49.0,50.0,58.5,63.5,44.0
98,15.0,17.5,11.5,39.0,24.5,17.5,19.0,13.0,21.0
99,13.5,17.0,6.0,36.0,30.0,40.5,23.0,13.0,25.5
100,76.0,93.0,64.0,119.0,66.5,72.5,62.0,54.0,66.7
101,122.5,141.0,93.5,96.0,77.5,92.5,80.0,69.5,75.9
102,147.5,169.0,137.0,115.0,108.0,114.5,98.0,84.5,91.7
103,16.5,20.0,12.0,33.0,23.5,22.0,29.0,18.5,15.8
104,56.5,61.5,42.5,92.0,54.5,32.5,50.5,39.5,54.8
105,24.0,23.0,9.0,48.0,43.0,41.0,4.0,1.0,13.6
106,30.5,34.5,37.5,35.0,57.0,50.5,69.0,55.0,47.6
107,67.5,50.5,48.8,72.0,38.5,47.0,45.5,62.5,58.3
108,111.0,143.0,145.0,144.0,85.5,167.0,116.5,66.0,63.5
109,118.5,110.5,141.0,183.0,170.0,169.5,182.0,142.5,164.1
110,63.5,68.5,58.0,114.0,87.0,105.0,92.5,64.5,67.5
111,64.0,68.5,67.5,68.0,70.0,82.5,52.0,49.0,56.7
112,73.0,83.5,74.5,61.0,69.0,59.0,65.0,61.5,55.4
113,193.0,251.5,210.5,194.0,149.0,165.0,78.5,90.5,101.1
114,152.5,173.0,188.5,141.0,118.5,177.5,103.0,98.5,117.8
115,80.0,77.0,63.0,38.0,44.0,29.0,12.0,11.0,24.4
116,47.5,44.0,40.5,32.0,44.0,60.5,17.0,9.0,10.8
117,129.5,124.0,71.0,91.0,118.0,106.5,62.5,148.0,149.4
118,182.5,121.5,42.5,176.0,189.5,129.0,116.5,95.0,81.1
119,2.5,9.0,27.0,0.0,0.0,1.0,0.0,0.0,2.4
120,91.0,102.0,72.5,90.0,192.0,217.5,82.0,87.5,43.3
121,69.0,78.5,148.5,162.0,74.0,66.5,189.0,149.5,141.2
122,72.5,76.5,105.5,66.0,71.5,68.0,66.0,57.5,57.8
123,117.5,140.0,123.0,89.0,90.5,94.0,85.0,103.5,85.3
124,106.5,111.5,79.5,175.0,112.5,109.5,102.5,28.0,111.0
125,159.5,205.0,226.5,23.0,66.5,95.0,53.0,53.0,65.0
126,127.5,128.0,101.0,123.0,98.0,78.0,141.5,118.0,114.5
127,84.5,90.0,64.5,83.0,69.0,53.0,56.0,54.5,58.4
128,78.5,92.5,91.5,95.0,86.5,97.5,58.0,106.0,106.8
129,10.0,11.5,29.5,16.0,7.0,8.0,5.0,3.0,6.5
130,6.5,4.5,5.0,9.0,20.0,20.0,0.0,0.0,0.3
131,23.0,33.5,54.5,20.0,32.0,39.5,84.5,48.0,33.5
132,7.0,14.0,9.0,14.0,6.5,3.0,12.0,14.5,4.8
133,99.5,126.5,93.0,72.0,51.0,38.5,106.5,101.0,81.2
134,21.0,21.5,17.5,54.0,31.5,47.0,40.0,45.0,50.6
135,143.5,147.5,127.0,135.0,135.5,158.0,158.0,150.0,146.8
136,18.5,25.0,35.5,31.0,11.5,11.0,5.0,5.5,5.5
137,33.5,64.5,37.0,37.0,25.0,20.0,31.0,30.5,30.1
138,113.0,134.0,104.0,74.0,85.0,90.0,60.0,56.0,72.2
139,83.5,80.0,69.5,137.0,98.5,116.0,133.5,135.0,127.8
140,25.5,26.0,21.0,8.0,14.0,13.0,5.5,3.5,9.5
141,49.0,58.0,36.5,56.0,85.5,83.5,188.0,126.0,95.7
142,9.0,6.0,6.0,20.0,6.5,4.0,9.5,6.5,7.0
143,9.0,6.0,51.5,21.0,7.0,1.0,48.5,21.0,33.5
144,7.0,0.0,92.5,26.0,37.5,38.0,34.0,22.0,23.0
145,36.0,54.5,30.5,79.0,56.0,59.0,73.0,69.0,67.0
146,68.0,74.0,76.5,66.0,63.0,60.0,93.5,90.5,79.4
147,69.5,76.5,67.5,70.0,70.0,76.5,75.5,79.0,62.7
148,29.5,32.0,24.5,23.0,20.5,20.0,29.0,25.5,18.5
149,88.5,104.5,87.0,63.0,71.0,64.5,54.5,43.5,44.4
150,143.5,165.5,167.5,107.0,114.0,130.0,85.5,83.5,79.5
151,65.0,93.5,87.5,57.0,73.0,50.0,29.5,41.5,48.6
152,52.5,51.5,35.0,34.0,46.0,35.0,28.0,17.5,24.9
153,6.5,6.5,26.0,1.0,3.0,1.0,0.0,3.0,6.5
154,32.0,26.5,50.5,47.0,35.0,39.0,62.5,47.0,50.1
155,22.5,17.0,17.0,11.0,2.0,0.5,4.7,3.5,11.5
156,7.5,28.0,26.0,96.0,115.5,208.0,66.5,107.0,127.5
157,63.5,78.5,41.5,57.0,78.0,90.0,94.5,105.5,67.5
158,152.0,161.0,98.0,166.0,121.5,116.0,146.0,113.0,143.5
159,94.7,113.5,119.5,48.0,60.5,78.0,53.5,52.0,48.0
160,97.5,107.0,85.0,66.0,67.0,63.0,36.5,53.0,67.5
161,97.0,114.5,94.0,141.0,112.5,111.0,89.5,96.0,102.9
162,90.5,113.5,78.5,100.0,108.5,109.0,83.0,87.5,84.7
163,138.5,154.5,112.5,147.0,138.0,165.0,166.0,141.5,173.9
164,109.5,111.0,78.5,61.0,77.5,56.0,53.5,64.0,74.9
165,92.5,92.0,74.0,79.0,53.5,49.0,50.5,66.0,26.8
166,27.5,30.5,64.0,50.0,30.0,23.0,48.5,52.5,40.1
167,71.0,47.0,19.0,25.0,43.5,35.0,27.5,18.0,19.9
168,25.5,33.5,59.5,225.0,58.5,130.0,98.5,87.5,182.9
169,38.5,51.0,47.5,26.0,45.5,45.5,65.5,52.0,49.3
