Month_Index,Station 2,Station 5,Station 9,Station 8,Station 6,Station 3,Station 1,Station 4,Station 7
1,38.0,66.0,23.0,22.0,78.0,68.2,77.5,54.0,27.5
2,86.0,46.5,56.0,68.0,73.0,84.0,82.5,156.0,64.5
3,57.5,48.5,91.0,85.5,78.5,58.2,54.0,48.0,96.0
4,38.0,45.5,78.0,83.5,39.0,33.0,28.0,38.0,85.0
5,50.0,57.0,79.5,69.5,46.0,46.0,48.0,55.0,73.0
6,78.5,107.0,176.0,151.5,129.0,75.5,79.0,120.0,147.5
7,87.5,94.5,147.5,148.5,106.0,76.2,74.5,78.0,160.0
8,23.0,54.5,63.0,75.0,60.0,25.9,23.0,34.0,80.0
9,0.0,110.5,172.5,49.0,131.0,119.1,152.0,129.0,59.5
10,53.5,41.0,34.0,37.5,25.0,54.0,37.0,49.0,51.0
11,44.5,31.5,39.0,60.5,19.0,65.0,44.5,35.0,82.5
12,31.0,12.0,15.5,32.5,31.0,19.1,67.0,39.0,22.0
13,45.5,21.5,27.0,36.0,28.5,41.0,38.0,42.0,33.5
14,125.0,72.5,86.5,100.0,123.0,120.8,185.0,106.0,105.0
15,93.5,101.5,51.0,78.5,128.0,76.5,121.5,85.0,90.0
16,30.0,24.0,39.0,28.5,27.0,32.0,37.0,21.0,28.5
17,43.5,64.5,91.5,90.0,75.0,41.2,41.5,49.0,97.0
18,52.0,79.0,96.0,144.5,77.0,48.2,68.5,77.0,126.5
19,112.0,133.5,166.5,152.5,173.0,139.5,146.0,166.0,182.5
20,29.5,53.5,96.5,76.5,51.5,30.0,22.5,37.0,72.5
21,52.5,29.0,48.5,27.5,48.0,42.0,98.5,54.0,40.5
22,102.0,61.5,66.0,59.5,77.0,127.5,79.5,93.0,82.0
23,10.0,17.0,12.0,10.5,12.0,8.5,12.0,15.0,19.0
24,28.5,22.0,121.0,53.5,10.0,36.5,28.0,20.0,35.0
25,38.5,31.0,24.5,46.0,36.0,30.0,38.5,36.0,42.0
26,108.5,68.5,83.5,80.5,122.0,89.0,105.5,76.0,80.5
27,87.5,88.0,126.0,125.5,134.0,110.0,89.0,132.0,116.0
28,122.0,108.0,161.0,158.5,153.0,118.0,102.0,151.0,176.5
29,56.5,68.0,171.0,67.0,95.0,65.5,56.0,68.0,91.0
30,75.0,79.0,94.5,91.5,82.5,85.5,76.0,109.0,101.5
31,65.0,80.0,60.5,72.0,83.0,81.0,94.5,77.0,91.0
32,70.5,120.0,97.0,75.5,129.0,81.9,98.5,154.0,89.5
33,40.5,64.5,35.0,21.0,50.0,55.0,21.0,14.0,25.5
34,42.5,7.0,6.0,13.5,7.5,22.0,46.5,19.0,27.5
35,9.0,2.5,82.0,45.0,9.0,10.1,19.5,14.0,31.5
36,19.5,31.5,17.5,20.0,29.0,17.3,25.5,45.0,50.0
37,57.5,47.5,52.0,65.5,58.5,50.8,87.0,58.0,57.5
38,101.5,84.5,115.5,106.5,97.0,104.5,107.0,117.0,109.5
39,40.0,42.5,65.5,54.5,46.5,34.5,35.0,33.0,57.5
40,79.5,106.0,93.5,88.5,166.0,99.9,156.0,120.0,75.5
41,76.0,77.5,78.5,86.5,88.0,66.0,70.0,61.0,91.5
42,36.5,27.0,35.5,47.5,28.0,45.1,43.0,15.0,43.0
43,48.5,62.0,69.5,94.0,57.0,63.5,60.5,65.0,114.0
44,61.0,49.5,48.0,41.0,48.0,72.1,82.0,95.0,52.5
45,18.0,3.5,30.5,27.0,28.0,11.0,11.5,16.0,34.0
46,5.0,9.5,18.0,34.5,6.0,18.4,4.0,11.0,32.5
47,0.0,4.0,17.0,11.0,3.5,0.0,2.0,0.0,9.5
48,25.0,48.0,74.5,52.0,46.5,26.2,38.5,30.0,60.5
49,43.0,5.0,70.5,43.5,4.5,41.1,37.5,19.0,61.5
50,77.0,121.0,92.0,78.5,188.0,176.4,83.1,127.0,90.0
51,68.5,73.0,125.0,83.0,88.0,98.1,92.5,84.0,92.0
52,91.5,88.0,74.5,66.5,119.0,68.3,83.5,67.0,89.5
53,44.5,49.0,60.5,44.0,62.5,43.5,50.0,46.0,49.5
54,80.0,105.5,120.5,112.5,119.0,114.6,114.0,67.0,144.5
55,83.0,85.0,138.0,135.0,75.0,86.8,102.0,79.0,156.5
56,44.5,60.0,81.0,59.0,72.0,49.1,55.5,84.0,70.0
57,17.0,15.0,27.0,149.5,12.0,60.0,32.5,19.0,165.5
58,53.5,23.5,79.5,71.0,26.0,19.7,39.0,36.0,90.0
59,1.5,14.0,18.5,6.5,29.0,0.0,1.5,0.0,36.5
60,9.5,21.0,4.0,0.0,24.5,22.0,12.0,11.0,0.0
61,15.0,34.5,104.5,56.0,48.5,17.5,17.0,31.0,59.0
62,51.5,19.5,4.5,3.5,33.0,47.9,50.5,53.0,5.5
63,76.0,63.0,120.0,108.0,94.0,90.6,92.0,117.0,130.0
64,19.0,20.0,21.0,35.0,25.5,18.3,21.5,24.0,28.5
65,50.0,39.0,53.5,92.0,58.0,50.4,48.5,74.0,57.5
66,43.5,66.5,60.5,77.0,101.0,40.6,41.0,49.0,74.5
67,5.5,15.0,23.5,10.5,13.0,6.9,8.0,19.0,11.0
68,26.5,21.0,15.5,14.0,18.0,34.6,41.0,36.0,17.5
69,23.5,32.5,47.0,38.5,25.5,26.6,27.0,45.0,38.5
70,16.0,14.5,35.0,54.0,13.0,19.2,24.0,30.0,56.5
71,8.0,0.0,26.5,10.0,2.0,3.5,3.0,2.0,9.5
72,21.5,16.0,20.0,49.5,31.0,30.2,14.0,21.0,45.5
73,88.0,143.0,20.5,30.0,130.0,195.3,198.0,171.0,31.5
74,27.0,27.5,30.0,53.5,36.0,31.1,29.0,46.0,41.5
75,48.5,53.0,84.0,116.0,53.0,48.4,47.0,90.0,105.0
76,22.0,32.5,19.5,40.5,36.0,26.8,37.0,20.0,32.5
77,104.5,141.0,174.0,190.0,170.0,116.6,107.5,180.0,176.0
78,50.0,39.5,74.0,40.0,54.5,54.5,47.5,69.0,50.5
79,52.5,116.0,186.0,197.5,132.0,76.8,66.5,157.0,169.0
80,27.0,37.5,60.5,96.5,34.0,34.2,29.0,52.0,100.5
81,39.5,22.0,51.5,66.0,32.5,25.6,15.5,48.0,45.0
82,0.0,3.0,10.0,0.0,1.0,2.3,0.0,5.0,1.0
83,95.5,61.0,57.0,140.5,66.0,83.1,103.0,128.0,149.5
84,103.5,137.0,21.0,27.5,92.0,124.8,85.5,108.0,25.5
85,97.5,86.5,16.0,56.5,76.5,87.3,102.0,94.0,69.5
86,41.0,28.5,47.0,48.5,30.0,47.1,35.5,73.0,39.5
87,112.5,103.0,134.0,142.5,134.0,101.5,112.0,127.0,130.5
88,46.5,36.5,23.5,33.5,41.5,44.1,50.5,52.0,35.0
89,77.5,125.5,151.0,189.5,160.0,109.3,103.0,159.0,177.0
90,76.0,131.0,120.5,168.5,129.0,118.9,97.5,153.0,171.5
91,38.5,81.5,105.5,127.0,61.5,54.2,37.5,107.0,106.5
92,53.5,82.5,61.5,96.0,55.0,64.5,72.0,125.0,95.0
93,29.0,10.0,1.0,6.0,6.5,9.5,51.0,10.0,3.5
94,41.0,39.5,13.0,41.5,60.5,21.0,53.0,56.0,27.0
95,0.0,23.0,3.0,25.0,53.0,1.5,3.5,18.0,16.0
96,34.5,11.0,99.5,14.0,12.0,39.5,50.5,67.0,13.0
97,63.5,49.0,23.0,42.5,50.0,44.0,58.5,48.0,34.5
98,13.0,24.5,11.5,17.5,17.5,21.0,19.0,39.0,15.0
99,13.0,30.0,6.0,17.0,40.5,25.5,23.0,36.0,13.5
100,54.0,66.5,64.0,93.0,72.5,66.7,62.0,119.0,76.0
101,69.5,77.5,93.5,141.0,92.5,75.9,80.0,96.0,122.5
102,84.5,108.0,137.0,169.0,114.5,91.7,98.0,115.0,147.5
103,18.5,23.5,12.0,20.0,22.0,15.8,29.0,33.0,16.5
104,39.5,54.5,42.5,61.5,32.5,54.8,50.5,92.0,56.5
105,1.0,43.0,9.0,23.0,41.0,13.6,4.0,48.0,24.0
106,55.0,57.0,37.5,34.5,50.5,47.6,69.0,35.0,30.5
107,62.5,38.5,48.8,50.5,47.0,58.3,45.5,72.0,67.5
108,66.0,85.5,145.0,143.0,167.0,63.5,116.5,144.0,111.0
109,142.5,170.0,141.0,110.5,169.5,164.1,182.0,183.0,118.5
110,64.5,87.0,58.0,68.5,105.0,67.5,92.5,114.0,63.5
111,49.0,70.0,67.5,68.5,82.5,56.7,52.0,68.0,64.0
112,61.5,69.0,74.5,83.5,59.0,55.4,65.0,61.0,73.0
113,90.5,149.0,210.5,251.5,165.0,101.1,78.5,194.0,193.0
114,98.5,118.5,188.5,173.0,177.5,117.8,103.0,141.0,152.5
115,11.0,44.0,63.0,77.0,29.0,24.4,12.0,38.0,80.0
116,9.0,44.0,40.5,44.0,60.5,10.8,17.0,32.0,47.5
117,148.0,118.0,71.0,124.0,106.5,149.4,62.5,91.0,129.5
118,95.0,189.5,42.5,121.5,129.0,81.1,116.5,176.0,182.5
119,0.0,0.0,27.0,9.0,1.0,2.4,0.0,0.0,2.5
120,87.5,192.0,72.5,102.0,217.5,43.3,82.0,90.0,91.0
121,149.5,74.0,148.5,78.5,66.5,141.2,189.0,162.0,69.0
122,57.5,71.5,105.5,76.5,68.0,57.8,66.0,66.0,72.5
123,103.5,90.5,123.0,140.0,94.0,85.3,85.0,89.0,117.5
124,28.0,112.5,79.5,111.5,109.5,111.0,102.5,175.0,106.5
125,53.0,66.5,226.5,205.0,95.0,65.0,53.0,23.0,159.5
126,118.0,98.0,101.0,128.0,78.0,114.5,141.5,123.0,127.5
127,54.5,69.0,64.5,90.0,53.0,58.4,56.0,83.0,84.5
128,106.0,86.5,91.5,92.5,97.5,106.8,58.0,95.0,78.5
129,3.0,7.0,29.5,11.5,8.0,6.5,5.0,16.0,10.0
130,0.0,20.0,5.0,4.5,20.0,0.3,0.0,9.0,6.5
131,48.0,32.0,54.5,33.5,39.5,33.5,84.5,20.0,23.0
132,14.5,6.5,9.0,14.0,3.0,4.8,12.0,14.0,7.0
133,101.0,51.0,93.0,126.5,38.5,81.2,106.5,72.0,99.5
134,45.0,31.5,17.5,21.5,47.0,50.6,40.0,54.0,21.0
135,150.0,135.5,127.0,147.5,158.0,146.8,158.0,135.0,143.5
136,5.5,11.5,35.5,25.0,11.0,5.5,5.0,31.0,18.5
137,30.5,25.0,37.0,64.5,20.0,30.1,31.0,37.0,33.5
138,56.0,85.0,104.0,134.0,90.0,72.2,60.0,74.0,113.0
139,135.0,98.5,69.5,80.0,116.0,127.8,133.5,137.0,83.5
140,3.5,14.0,21.0,26.0,13.0,9.5,5.5,8.0,25.5
141,126.0,85.5,36.5,58.0,83.5,95.7,188.0,56.0,49.0
142,6.5,6.5,6.0,6.0,4.0,7.0,9.5,20.0,9.0
143,21.0,7.0,51.5,6.0,1.0,33.5,48.5,21.0,9.0
144,22.0,37.5,92.5,0.0,38.0,23.0,34.0,26.0,7.0
145,69.0,56.0,30.5,54.5,59.0,67.0,73.0,79.0,36.0
146,90.5,63.0,76.5,74.0,60.0,79.4,93.5,66.0,68.0
147,79.0,70.0,67.5,76.5,76.5,62.7,75.5,70.0,69.5
148,25.5,20.5,24.5,32.0,20.0,18.5,29.0,23.0,29.5
149,43.5,71.0,87.0,104.5,64.5,44.4,54.5,63.0,88.5
150,83.5,114.0,167.5,165.5,130.0,79.5,85.5,107.0,143.5
151,41.5,73.0,87.5,93.5,50.0,48.6,29.5,57.0,65.0
152,17.5,46.0,35.0,51.5,35.0,24.9,28.0,34.0,52.5
153,3.0,3.0,26.0,6.5,1.0,6.5,0.0,1.0,6.5
154,47.0,35.0,50.5,26.5,39.0,50.1,62.5,47.0,32.0
155,3.5,2.0,17.0,17.0,0.5,11.5,4.7,11.0,22.5
156,107.0,115.5,26.0,28.0,208.0,127.5,66.5,96.0,7.5
157,105.5,78.0,41.5,78.5,90.0,67.5,94.5,57.0,63.5
158,113.0,121.5,98.0,161.0,116.0,143.5,146.0,166.0,152.0
159,52.0,60.5,119.5,113.5,78.0,48.0,53.5,48.0,94.7
160,53.0,67.0,85.0,107.0,63.0,67.5,36.5,66.0,97.5
161,96.0,112.5,94.0,114.5,111.0,102.9,89.5,141.0,97.0
162,87.5,108.5,78.5,113.5,109.0,84.7,83.0,100.0,90.5
163,141.5,138.0,112.5,154.5,165.0,173.9,166.0,147.0,138.5
164,64.0,77.5,78.5,111.0,56.0,74.9,53.5,61.0,109.5
165,66.0,53.5,74.0,92.0,49.0,26.8,50.5,79.0,92.5
166,52.5,30.0,64.0,30.5,23.0,40.1,48.5,50.0,27.5
167,18.0,43.5,19.0,47.0,35.0,19.9,27.5,25.0,71.0
168,87.5,58.5,59.5,33.5,130.0,182.9,98.5,225.0,25.5
169,52.0,45.5,47.5,51.0,45.5,49.3,65.5,26.0,38.5
170,38.5,77.0,87.0,101.0,87.0,48.7,33.0,63.0,118.0
171,84.0,52.0,61.0,95.5,66.0,44.5,48.0,42.0,68.0
172,13.5,9.5,19.0,23.0,13.0,5.2,8.0,15.0,17.5
173,122.5,107.5,120.0,187.0,103.0,122.0,109.0,161.0,156.5
174,27.5,39.0,50.5,67.5,41.0,24.2,23.5,44.0,51.5
175,91.5,86.5,101.5,133.0,77.0,52.3,41.0,96.0,105.5
176,40.0,49.2,47.0,59.0,41.5,42.3,35.5,68.0,52.0
177,26.5,2.0,5.5,8.5,2.0,3.0,4.5,13.0,8.0
178,6.5,18.5,24.5,18.5,16.0,9.9,9.0,18.0,19.0
179,0.0,10.0,47.5,90.5,23.0,0.0,0.0,4.0,103.5
180,10.5,1.0,9.5,24.5,0.0,6.0,4.5,5.0,16.0
